"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0150146","GO:0150146","cell junction disassembly","6/168","28/18986",0.214285714285714,24.2168367346939,11.6160644519821,1.40720282922143e-07,0.000235009949632049,0.000207525400484798,"C1QC/C1QB/C3/TGFBR1/FER/PIK3R1",6
"GO:0007015","GO:0007015","actin filament organization","18/168","465/18986",0.0387096774193548,4.37465437788018,6.96140290858689,1.70544230502213e-07,0.000235009949632049,0.000207525400484798,"FHOD1/FCHSD2/ELMO1/TMSB4X/SSH2/CYFIP1/GSN/TGFBR1/ARHGAP12/FER/TTC17/RASA1/BIN1/CAP1/PIK3R1/ARHGAP25/MYO1F/BAIAP2L1",18
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","15/168","352/18986",0.0426136363636364,4.81584821428571,6.82782822864382,5.78590246326398e-07,0.000531531572958518,0.000469368648949696,"FHOD1/CSF1R/FCHSD2/TMSB4X/SSH2/CYFIP1/BCAS3/GSN/TGFBR1/FER/RASA1/BIN1/PIK3R1/BAIAP2L1/AKAP13",15
"GO:0030041","GO:0030041","actin filament polymerization","10/168","167/18986",0.0598802395209581,6.76717992586256,7.07288626978418,2.40999434662554e-06,0.0012729131635492,0.00112404523494224,"FCHSD2/TMSB4X/SSH2/CYFIP1/GSN/FER/TTC17/RASA1/BIN1/BAIAP2L1",10
"GO:0032970","GO:0032970","regulation of actin filament-based process","15/168","395/18986",0.0379746835443038,4.29159132007233,6.2463496407429,2.42786378014564e-06,0.0012729131635492,0.00112404523494224,"FHOD1/CSF1R/FCHSD2/TMSB4X/SSH2/CYFIP1/BCAS3/GSN/TGFBR1/FER/RASA1/BIN1/PIK3R1/BAIAP2L1/AKAP13",15
"GO:0001934","GO:0001934","positive regulation of protein phosphorylation","16/168","455/18986",0.0351648351648352,3.97404500261643,6.06704219931266,2.98397292445818e-06,0.0012729131635492,0.00112404523494224,"C3/PTPRC/CSF1R/TAB2/SYK/LRRK1/CD74/WDFY2/CCNY/RAP1A/CAB39/STK4/FBXW7/LYN/DUSP19/ARAF",16
"GO:0030833","GO:0030833","regulation of actin filament polymerization","9/168","135/18986",0.0666666666666667,7.53412698412698,7.19880595646938,3.23308858666344e-06,0.0012729131635492,0.00112404523494224,"FCHSD2/TMSB4X/SSH2/CYFIP1/GSN/FER/RASA1/BIN1/BAIAP2L1",9
"GO:0042327","GO:0042327","positive regulation of phosphorylation","16/168","479/18986",0.0334029227557411,3.77492792524108,5.81198736056883,5.73241571669871e-06,0.00181611048879031,0.00160371531971706,"C3/PTPRC/CSF1R/TAB2/SYK/LRRK1/CD74/WDFY2/CCNY/RAP1A/CAB39/STK4/FBXW7/LYN/DUSP19/ARAF",16
"GO:0110053","GO:0110053","regulation of actin filament organization","12/168","273/18986",0.043956043956044,4.96755625327054,6.23886972674872,5.93069462957648e-06,0.00181611048879031,0.00160371531971706,"FHOD1/FCHSD2/TMSB4X/SSH2/CYFIP1/GSN/TGFBR1/FER/RASA1/BIN1/PIK3R1/BAIAP2L1",12
"GO:0007264","GO:0007264","small GTPase-mediated signal transduction","16/168","491/18986",0.0325865580448065,3.68266899427796,5.69054520330728,7.82038024292804e-06,0.00215529679495097,0.00190323359175259,"ARHGAP24/DOCK10/ARHGAP26/ELMO1/FGD4/GNB1/ABR/CYFIP1/RAP1A/GBF1/ARHGAP12/ARHGAP25/NF1/RASGEF1C/PREX2/AKAP13",16
"GO:0008064","GO:0008064","regulation of actin polymerization or depolymerization","9/168","153/18986",0.0588235294117647,6.64775910364146,6.62728024786372,8.99793020054074e-06,0.0021583737872092,0.00190595072799163,"FCHSD2/TMSB4X/SSH2/CYFIP1/GSN/FER/RASA1/BIN1/BAIAP2L1",9
"GO:0008154","GO:0008154","actin polymerization or depolymerization","10/168","196/18986",0.0510204081632653,5.76591350826045,6.33700444334695,1.00008617850796e-05,0.0021583737872092,0.00190595072799163,"FCHSD2/TMSB4X/SSH2/CYFIP1/GSN/FER/TTC17/RASA1/BIN1/BAIAP2L1",10
"GO:0030832","GO:0030832","regulation of actin filament length","9/168","156/18986",0.0576923076923077,6.51991758241758,6.54098181949503,1.05262184223848e-05,0.0021583737872092,0.00190595072799163,"FCHSD2/TMSB4X/SSH2/CYFIP1/GSN/FER/RASA1/BIN1/BAIAP2L1",9
"GO:0002762","GO:0002762","negative regulation of myeloid leukocyte differentiation","6/168","57/18986",0.105263157894737,11.8959899749373,7.78419123436996,1.09641629248653e-05,0.0021583737872092,0.00190595072799163,"C1QC/INPP5D/FBXW7/PIK3R1/LYN/NF1",6
